Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 120
Sorting CSV by 'HOST START TS' column...
Using operations after 'layer_1_start'.
Using operations until 'attn_1_end'.
Detected data from 32 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID      Total %  Bound  OP Code                                         Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs        FLOPs %  Math Fidelity            
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 20040    0.0 %         LayerNormPreAllGatherDeviceOperation                  0        15 μs                    1                                                       FP32 => FP32
 20098    0.1 %         SliceDeviceOperation                                 26         1 μs        183 μs      1                                                       FP32 => FP32
 20124    0.8 %         AllGatherDeviceOperation                              0        46 μs        945 μs     12                                                       FP32 => FP32
 20139    0.1 %         FillPadDeviceOperation                                3         4 μs        105 μs      8                                                       FP32 => FP32
 20169    0.2 %         TransposeDeviceOperation                              1         3 μs        236 μs    120                                                       FP32 => FP32
 20215    0.1 %         ReduceDeviceOperation                                12         2 μs        182 μs     32                                                       FP32 => FP32
 20243    0.1 %         TransposeDeviceOperation                              7         1 μs        165 μs    120                                                       FP32 => FP32
 20290    0.2 %         BinaryNgDeviceOperation                              26         4 μs        281 μs    120                                                 FP32, FP32 => FP32
 20327    0.2 %         BinaryNgDeviceOperation                              16         4 μs        248 μs    120                                                 FP32, FP32 => FP32
 20342    0.2 %         UnaryDeviceOperation                                 13         2 μs        252 μs    120                                                       FP32 => FP32
 20383    0.2 %         BinaryNgDeviceOperation                              20         9 μs        250 μs    120                                                 FP32, FP32 => FP32
 20416    0.2 %         BinaryNgDeviceOperation                              24        13 μs        257 μs    120                                                 FP32, FP32 => BF16
 20431    0.2 %   SLOW  MatmulDeviceOperation 32 x 896 x 2304                 8        18 μs        202 μs     72  125 GB/s  24.4 %   7.3 TFLOPs    3.7 %  HiFi2 BF16 x BFP8 => BF16
 20472    0.1 %         SliceDeviceOperation                                 28         1 μs        158 μs     18                                                       BF16 => BF16
 20514    0.1 %         SliceDeviceOperation                                 26         1 μs        173 μs      2                                                       BF16 => BF16
 20521    0.1 %         SliceDeviceOperation                                  1         1 μs        179 μs     48                                                       BF16 => BF16
 20560    0.1 %         SliceDeviceOperation                                  4         1 μs        172 μs      4                                                       BF16 => BF16
 20604    0.5 %         AllGatherDeviceOperation                              0        46 μs        609 μs     12                                                       BF16 => BF16
 20635    0.2 %         FastReduceNCDeviceOperation                          31         2 μs        194 μs      4                                                       BF16 => BF16
 20672    0.1 %         TypecastDeviceOperation                              24         1 μs        189 μs      4                                                       BF16 => FP32
 20690    0.2 %         ReshapeViewDeviceOperation                            6         7 μs        204 μs    120                                                       FP32 => FP32
 20719    0.2 %         LayerNormDeviceOperation                              8         8 μs        201 μs     32                                                 FP32, BF16 => FP32
 20754    0.1 %         TypecastDeviceOperation                               6         3 μs        157 μs    120                                                       FP32 => BF16
 20777    0.1 %         SliceDeviceOperation                                  1         2 μs        171 μs     64                                                       BF16 => BF16
 20825    0.1 %         TypecastDeviceOperation                              29         2 μs        190 μs     64                                                       BF16 => FP32
 20840    0.1 %         ReshapeViewDeviceOperation                            0         3 μs        166 μs     32                                                       FP32 => FP32
 20883    0.1 %         PermuteDeviceOperation                                7         2 μs        189 μs     32                                                       FP32 => FP32
 20925    0.1 %         SliceDeviceOperation                                 22         2 μs        172 μs     32                                                       FP32 => FP32
 20964    0.2 %         BinaryNgDeviceOperation                              19         5 μs        252 μs    120                                                 FP32, FP32 => FP32
