Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 120
Sorting CSV by 'HOST START TS' column...
Using operations after 'layer_1_start'.
Using operations until 'layer_1_end'.
Detected data from 32 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID      Total %  Bound  OP Code                                                 Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs        FLOPs %  Math Fidelity            
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 20040    0.0 %         LayerNormPreAllGatherDeviceOperation                          0        15 μs                    1                                                       FP32 => FP32
 20098    0.0 %         SliceDeviceOperation                                         26         1 μs        183 μs      1                                                       FP32 => FP32
 20124    0.0 %         AllGatherDeviceOperation                                      0        46 μs        945 μs     12                                                       FP32 => FP32
 20139    0.0 %         FillPadDeviceOperation                                        3         4 μs        105 μs      8                                                       FP32 => FP32
 20169    0.0 %         TransposeDeviceOperation                                      1         3 μs        236 μs    120                                                       FP32 => FP32
 20215    0.0 %         ReduceDeviceOperation                                        12         2 μs        182 μs     32                                                       FP32 => FP32
 20243    0.0 %         TransposeDeviceOperation                                      7         1 μs        165 μs    120                                                       FP32 => FP32
 20290    0.0 %         BinaryNgDeviceOperation                                      26         4 μs        281 μs    120                                                 FP32, FP32 => FP32
 20327    0.0 %         BinaryNgDeviceOperation                                      16         4 μs        248 μs    120                                                 FP32, FP32 => FP32
 20342    0.0 %         UnaryDeviceOperation                                         13         2 μs        252 μs    120                                                       FP32 => FP32
 20383    0.0 %         BinaryNgDeviceOperation                                      20         9 μs        250 μs    120                                                 FP32, FP32 => FP32
 20416    0.0 %         BinaryNgDeviceOperation                                      24        13 μs        257 μs    120                                                 FP32, FP32 => BF16
 20431    0.0 %   SLOW  MatmulDeviceOperation 32 x 896 x 2304                         8        18 μs        202 μs     72  125 GB/s  24.4 %   7.3 TFLOPs    3.7 %  HiFi2 BF16 x BFP8 => BF16
 20472    0.0 %         SliceDeviceOperation                                         28         1 μs        158 μs     18                                                       BF16 => BF16
 20514    0.0 %         SliceDeviceOperation                                         26         1 μs        173 μs      2                                                       BF16 => BF16
 20521    0.0 %         SliceDeviceOperation                                          1         1 μs        179 μs     48                                                       BF16 => BF16
 20560    0.0 %         SliceDeviceOperation                                          4         1 μs        172 μs      4                                                       BF16 => BF16
 20604    0.0 %         AllGatherDeviceOperation                                      0        46 μs        609 μs     12                                                       BF16 => BF16
 20635    0.0 %         FastReduceNCDeviceOperation                                  31         2 μs        194 μs      4                                                       BF16 => BF16
 20672    0.0 %         TypecastDeviceOperation                                      24         1 μs        189 μs      4                                                       BF16 => FP32
 20690    0.0 %         ReshapeViewDeviceOperation                                    6         7 μs        204 μs    120                                                       FP32 => FP32
 20719    0.0 %         LayerNormDeviceOperation                                      8         8 μs        201 μs     32                                                 FP32, BF16 => FP32
 20754    0.0 %         TypecastDeviceOperation                                       6         3 μs        157 μs    120                                                       FP32 => BF16
 20777    0.0 %         SliceDeviceOperation                                          1         2 μs        171 μs     64                                                       BF16 => BF16
 20825    0.0 %         TypecastDeviceOperation                                      29         2 μs        190 μs     64                                                       BF16 => FP32
 20840    0.0 %         ReshapeViewDeviceOperation                                    0         3 μs        166 μs     32                                                       FP32 => FP32
 20883    0.0 %         PermuteDeviceOperation                                        7         2 μs        189 μs     32                                                       FP32 => FP32
 20925    0.0 %         SliceDeviceOperation                                         22         2 μs        172 μs     32                                                       FP32 => FP32
 20964    0.0 %         BinaryNgDeviceOperation                                      19         5 μs        252 μs    120                                                 FP32, FP32 => FP32
 20979    0.0 %         UntilizeWithUnpaddingDeviceOperation                          7        10 μs        178 μs     32                                                       FP32 => FP32
 21009    0.0 %         SliceDeviceOperation                                          5         7 μs        284 μs    120                                                       FP32 => FP32
 21034    0.0 %         TilizeWithValPaddingDeviceOperation                           2         5 μs        181 μs     32                                                       FP32 => FP32
 21081    0.0 %         TernaryDeviceOperation                                       29         6 μs        302 μs    120                                                 FP32, FP32 => FP32
 21112    0.0 %         BinaryNgDeviceOperation                                      28         5 μs        205 μs    120                                                 FP32, FP32 => FP32
 21146    0.0 %         TernaryDeviceOperation                                       30         6 μs        218 μs    120                                                 FP32, FP32 => FP32
 21169    0.0 %         UntilizeWithUnpaddingDeviceOperation                          5        10 μs        200 μs     32                                                       FP32 => FP32
 21204    0.0 %         UntilizeWithUnpaddingDeviceOperation                         15        10 μs        151 μs     32                                                       FP32 => FP32
 21231    0.0 %         PermuteDeviceOperation                                        8         4 μs        131 μs     32                                                       FP32 => FP32
 21283    0.0 %         PermuteDeviceOperation                                       27         4 μs        133 μs     32                                                       FP32 => FP32
 21305    0.0 %         ConcatDeviceOperation                                        29         1 μs        154 μs     64                                                 FP32, FP32 => FP32
 21337    0.0 %         PermuteDeviceOperation                                       29         3 μs        120 μs     32                                                       FP32 => FP32
 21355    0.0 %         TilizeWithValPaddingDeviceOperation                           3         5 μs        131 μs     32                                                       FP32 => FP32
 21408    0.0 %         ReshapeViewDeviceOperation                                   24        62 μs        235 μs      2                                                       FP32 => FP32
 21423    0.0 %         UntilizeDeviceOperation                                       8         3 μs        104 μs      1                                                       FP32 => FP32
 21451    0.0 %         SliceDeviceOperation                                          3         3 μs        122 μs     32                                                       FP32 => FP32
 21501    0.0 %         TilizeDeviceOperation                                        22         2 μs        146 μs      1                                                       FP32 => FP32
 21521    0.0 %         UntilizeDeviceOperation                                       5         3 μs        160 μs      1                                                       FP32 => FP32
