Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
23.73,PermuteDeviceOperation (in0:dram_interleaved),647.80,14,TM,,,,,
20.36,ReshapeViewDeviceOperation (in0:dram_interleaved),555.86,18,Other,,,,,
8.67,MatmulDeviceOperation (in0:dram_interleaved),236.58,6,Compute,3.18,6.28,4.57,1.29,5.29
7.26,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),198.07,9,TM,,,,,
7.14,AllGatherDeviceOperation (in0:dram_interleaved),194.83,4,Other,,,,,
5.84,BinaryNgDeviceOperation (in0:dram_interleaved),159.45,11,Compute,,,,,
5.43,ReduceScatterDeviceOperation (in0:dram_interleaved),148.12,2,DM,,,,,
5.15,TernaryDeviceOperation (in0:dram_interleaved),140.56,6,TM,,,,,
4.61,SliceDeviceOperation (in0:dram_interleaved),125.83,18,TM,,,,,
3.71,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),101.35,6,TM,,,,,
1.69,ConcatDeviceOperation (in0:dram_interleaved),46.07,7,TM,,,,,
1.63,LayerNormDeviceOperation (in0:dram_interleaved),44.50,3,Compute,,,,,
1.07,TypecastDeviceOperation (in0:dram_interleaved),29.13,9,TM,,,,,
1.04,SdpaDecodeDeviceOperation (in0:dram_interleaved),28.35,1,Other,,,,,
0.60,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),16.42,3,DM,,,,,
0.55,LayerNormPreAllGatherDeviceOperation (in0:dram_interleaved),15.00,1,Other,,,,,
0.51,TransposeDeviceOperation (in0:dram_interleaved),13.82,3,TM,,,,,
0.24,UntilizeDeviceOperation (in0:dram_interleaved),6.61,2,TM,,,,,
0.22,InterleavedToShardedDeviceOperation (in0:dram_interleaved),5.97,3,DM,,,,,
0.14,FastReduceNCDeviceOperation (in0:dram_interleaved),3.74,2,Other,,,,,
0.13,TilizeDeviceOperation (in0:dram_interleaved),3.65,2,TM,,,,,
0.13,FillPadDeviceOperation (in0:dram_interleaved),3.57,1,TM,,,,,
0.08,ReduceDeviceOperation (in0:dram_interleaved),2.20,1,Compute,,,,,
0.07,UnaryDeviceOperation (in0:dram_interleaved),1.97,1,Compute,,,,,
